question,answer,source,focus_area
What are the treatments for Heart Failure ?,"Early diagnosis and treatment can help people who have heart failure live longer, more active lives. Treatment for heart failure depends on the type and severity of the heart failure.
                
The goals of treatment for all stages of heart failure include:
                
Treating the conditions underlying cause, such ascoronary heart disease,high blood pressure, ordiabetes
                
Reducing symptoms
                
Stopping the heart failure from getting worse
                
Increasing your lifespan and improving your quality of life
                
Treatments usually include lifestyle changes, medicines, and ongoing care. If you have severe heart failure, you also may need medical procedures or surgery.
                
Heart-Healthy Lifestyle Changes
                
Your doctor may recommend heart-healthy lifestyle changes if you have heart failure. Heart-healthy lifestyle changes include:
                
Heart-healthy eating
                
Maintaining a healthy weight
                
Physical activity
                
Quitting smoking
                
Heart-Healthy Eating
                
Your doctor may recommend a heart-healthy eating plan, which should include:
                
Fat-free or low-fat dairy products, such as skim milk
                
Fish high in omega-3 fatty acids, such as salmon, tuna, and trout, about twice a week
                
Fruits, such as apples, bananas, oranges, pears, and prunes
                
Legumes, such as kidney beans, lentils, chickpeas, black-eyed peas, and lima beans
                
Vegetables, such as broccoli, cabbage, and carrots
                
Whole grains, such as oatmeal, brown rice, and corn tortillas
                
When following a heart-healthy diet, you should avoid eating:
                
A lot of red meat
                
Palm and coconut oils
                
Sugary foods and beverages
                
Two nutrients in your diet make blood cholesterol levels rise:
                
Saturated fatfound mostly in foods that come from animals
                
Trans fat (trans fatty acids)found in foods made with hydrogenated oils and fats, such as stick margarine; baked goods, such as cookies, cakes, and pies; crackers; frostings; and coffee creamers. Some trans fats also occur naturally in animal fats andmeats.
                
Saturated fat raises your blood cholesterol more than anything else in your diet. When you follow a heart-healthy eating plan, only 5 percent to 6 percent of your daily calories should come from saturated fat. Food labels list the amounts of saturated fat. To help you stay on track, here are some examples:
                
If you eat:
                
Try to eat no more than:
                
1,200 calories a day                
                
8 grams of saturated fat a day      
                
1,500 calories a day
                
10 grams of saturated fat a day
                
1,800 calories a day
                
12 grams of saturated fat a day
                
2,000 calories a day
                
13 grams of saturated fat a day
                
2,500 calories a day
                
17 grams of saturated fat a day
                
Not all fats are bad. Monounsaturated and polyunsaturated fats actually help lower blood cholesterollevels.
                
Some sources of monounsaturated and polyunsaturated fats are:
                
Avocados
                
Corn, sunflower, and soybean oils
                
Nuts and seeds, such as walnuts
                
Olive, canola, peanut, safflower, and sesame oils
                
Peanut butter
                
Salmon and trout
                
Tofu
                
Sodium
                
You should try to limit the amount of sodium that you eat. This means choosing and preparing foods that are lower in salt and sodium. Try to use low-sodium and no added salt foods and seasonings at the table or while cooking. Food labels tell you what you need to know about choosing foods that are lower in sodium. Try to eat no more than 2,300 milligrams of sodium a day. If you have high blood pressure, you may need to restrict your sodium intake even more.
                
Dietary Approaches to Stop Hypertension
                
Your doctor may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan if you have high blood pressure. The DASH eating plan focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and low in fat, cholesterol, and sodium and salt.
                
The DASH eating plan is a good heart-healthy eating plan, even for those who dont have high blood pressure. Read more about DASH.
                
Liquid Intake
                
Its important for people who have heart failure to take in the correct amounts and types of liquids. Consuming too much liquid can worsen heart failure. Also, if you have heart failure, you shouldnt drink alcohol. Talk with your doctor about what amounts and types of liquids you should have each day.
                
Maintaining a Healthy Weight
                
Maintaining a healthy weight is important for overall health and can lower your risk for heart failure and coronary heart disease. Aim for a Healthy Weight by following a heart-healthy eating plan and keeping physically active.
                
Knowing your body mass index (BMI) helps you find out if youre a healthy weight in relation to your height and gives an estimate of your total body fat. To figure out your BMI, check out the National Heart, Lung, and Blood Institutes (NHLBI) online BMI calculator or talk to your doctor. A BMI:
                
Below 18.5 is a sign that you are underweight.
                
Between 18.5 and 24.9 is in the normal range.
                
Between 25 and 29.9 is considered overweight.
                
Of 30 or more is considered obese.
                
A general goal to aim for is a BMI below 25. Your doctor or health care provider can help you set an appropriate BMI goal.
                
Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, youre at a higher risk for heart disease and type 2 diabetes. This risk may be higher with a waist size that is greater than 35 inches for women or greater than 40 inches for men. To learn how to measure your waist, visit Assessing Your Weight and Health Risk.
                
If youre overweight or obese, try to lose weight. A loss of just 3 percent to 5 percent of your current weight can lower your triglycerides, blood glucose, and the risk of developing type 2 diabetes. Greater amounts of weight loss can improve blood pressure readings, lower LDL cholesterol, and increase HDL cholesterol.
                
Physical Activity
                
Routine physical activity can lower many coronary heart disease risk factors, including LDL (bad) cholesterol, high blood pressure, and excess weight. Physical activity also can lower your risk for diabetes and raise your HDL cholesterol level. HDL is the good cholesterol that helps prevent coronary heart disease.
                
Everyone should try to participate in moderate-intensity aerobic exercise at least 2hours and 30minutes per week, or vigorous aerobic exercise for 1hour and 15minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats faster and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10minutes at a time spread throughout the week.
                
Read more about physical activity at:
                
Physical Activity and Your Heart
                
U.S. Department of Health and Human Services 2008 Physical Activity Guidelines forAmericans
                
Talk with your doctor before you start a new exercise plan. Ask your doctor how much and what kinds of physical activity are safe for you.
                
Quitting Smoking
                
If you smoke, quit. Smoking can raise your risk for coronary heart disease and heart attack and worsen heart failure. Talk with your doctor about programs and products that can help you quit smoking. Also, try to avoid secondhand smoke.
                
If you have trouble quitting smoking on your own, consider joining a support group. Many hospitals, workplaces, and community groups offer classes to help people quit smoking.
                
Read more about quitting smoking at Smoking and Your Heart.
                
Medicines
                
Your doctor will prescribe medicines based on the type of heart failure you have, how severe it is, and your response to certain medicines. The following medicines are commonly used to treat heart failure:
                
ACE inhibitors lower blood pressure and reduce strain on your heart. They also may reduce the risk of a futureheart attack.
                
Aldosterone antagonists trigger the body to remove excess sodium through urine. This lowers the volume of blood that the heart must pump.
                
Angiotensin receptor blockers relax your blood vessels and lower blood pressure to decrease your hearts workload.
                
Beta blockers slow your heart rate and lower your blood pressure to decrease your hearts workload.
                
Digoxin makes the heart beat stronger and pump more blood.
                
Diuretics (fluid pills) help reduce fluid buildup in your lungs and swelling in your feet and ankles.
                
Isosorbide dinitrate/hydralazine hydrochloride helps relax your blood vessels so your heart doesnt work as hard to pump blood. Studies have shown that this medicine can reduce the risk of death in blacks. More studies are needed to find out whether this medicine will benefit other racial groups.
                
Take all medicines regularly, as your doctor prescribes. Dont change the amount of your medicine or skip a dose unless your doctor tells you to. You should still follow a heart healthy lifestyle, even if you take medicines to treat your heart failure.
                
Ongoing Care
                
You should watch for signs that heart failure is getting worse. For example, weight gain may mean that fluids are building up in your body. Ask your doctor how often you should check your weight and when to report weight changes.
                
Getting medical care for other related conditions is important. If you have diabetes or high blood pressure, work with your health care team to control these conditions. Have your blood sugar level and blood pressure checked. Talk with your doctor about when you should have tests and how often to take measurements at home.
                
Try to avoid respiratory infections like the flu andpneumonia. Talk with your doctor or nurse about getting flu and pneumonia vaccines.
                
Many people who have severe heart failure may need treatment in a hospital from time to time. Your doctor may recommend oxygen therapy, which can be given in a hospital or at home.
                
Medical Procedures and Surgery
                
As heart failure worsens, lifestyle changes and medicines may no longer control your symptoms. You may need a medical procedure or surgery.
                
In heart failure, the right and left sides of the heart may no longer contract at the same time. This disrupts the hearts pumping. To correct this problem, your doctor might implant a cardiac resynchronization therapy device (a type ofpacemaker) near your heart. This device helps both sides of your heart contract at the same time, which can decrease heart failure symptoms.
                
Some people who have heart failure have very rapid, irregular heartbeats. Without treatment, these heartbeats can causesudden cardiac arrest. Your doctor might implant an implantable cardioverter defibrillator (ICD) near your heart to solve this problem. An ICD checks your heart rate and uses electrical pulses to correct irregular heart rhythms.
                
People who have severe heart failure symptoms at rest, despite other treatments, may need:
                
A mechanical heart pump, such as aleft ventricular assist device. This device helps pump blood from the heart to the rest of the body. You may use a heart pump until you have surgery or as a long-term treatment.
                
Heart transplant. A heart transplant is an operation in which a persons diseased heart is replaced with a healthy heart from a deceased donor. Heart transplants are done as a life-saving measure for end-stage heart failure when medical treatment and less drastic surgery have failed.",NHLBI,Heart Failure
What are the genetic changes related to GLUT1 deficiency syndrome ?,"GLUT1 deficiency syndrome is caused by mutations in the SLC2A1 gene. This gene provides instructions for producing a protein called the glucose transporter protein type 1 (GLUT1). The GLUT1 protein is embedded in the outer membrane surrounding cells, where it transports a simple sugar called glucose into cells from the blood or from other cells for use as fuel.  In the brain, the GLUT1 protein is involved in moving glucose, which is the brain's main energy source, across the blood-brain barrier. The blood-brain barrier acts as a boundary between tiny blood vessels (capillaries) and the surrounding brain tissue; it protects the brain's delicate nerve tissue by preventing many other types of molecules from entering the brain. The GLUT1 protein also moves glucose between cells in the brain called glia, which protect and maintain nerve cells (neurons).  SLC2A1 gene mutations reduce or eliminate the function of the GLUT1 protein. Having less functional GLUT1 protein reduces the amount of glucose available to brain cells, which affects brain development and function.",GHR,GLUT1 deficiency syndrome
What are the treatments for Pseudopelade of Brocq ?,"Is there treatment or a cure for pseudopelade of Brocq? Neither an effective treatment nor cure has been identified for pseudopelade of Brocq.  Unfortunately, even when treatment relieves the symptoms and signs, the progression of hair loss may continue. The choice of treatment prescribed varies from person to person and depends mainly on the activity, extent of the disease and patient's tolerance to the treatment. Various forms of corticosteroids have been tried, including injections or skin lotions or creams. Surgery such as hair transplant or scalp reduction might be considered in patients whose condition has remained stable for two or more years.",GARD,Pseudopelade of Brocq
What is (are) High Blood Cholesterol ?,"Your LDL cholesterol goal level depends on your risk for developing heart disease or having a heart attack at the time you start treatment. Major risk factors that affect your LDL goal include - cigarette smoking  - high blood pressure (140/90 mmHg or higher), or being on blood pressure medicine  - low HDL cholesterol (less than 40 mg/dL)  - family history of early heart disease (heart disease in father or brother before age 55; heart disease in mother or sister before age 65)  - age (men 45 years or older; women 55 years or older). cigarette smoking high blood pressure (140/90 mmHg or higher), or being on blood pressure medicine low HDL cholesterol (less than 40 mg/dL) family history of early heart disease (heart disease in father or brother before age 55; heart disease in mother or sister before age 65) age (men 45 years or older; women 55 years or older).",NIHSeniorHealth,High Blood Cholesterol
What to do for What I need to know about Lactose Intolerance ?,"Talk with your doctor about your dietary plan. A dietary plan can help you manage the symptoms of lactose intolerance and get enough nutrients. If you have a child with lactose intolerance, follow the diet plan that your childs doctor recommends.
                
Milk and milk products. You may be able to have milk and milk products without symptoms if you
                
- drink small amounts of milkhalf a cup or lessat a time  - drink small amounts of milk with meals, such as having milk with cereal or having cheese with crackers  - add small amounts of milk and milk products to your diet a little at a time and see how you feel  - eat milk products that are easier for people with lactose intolerance to break down:      - yogurt    - hard cheeses such as cheddar and Swiss
                

                
Lactose-free and lactose-reduced milk and milk products. You can find lactose-free and lactose-reduced milk and milk products at the grocery store. These products are just as healthy for you as regular milk and milk products.
                
Lactase products. You can use lactase tablets and drops when you have milk and milk products. The lactase enzyme breaks down the lactose in food. Using lactase tablets or drops can help you prevent symptoms of lactose intolerance. Check with your doctor before using these products. Some people, such as young children and pregnant and breastfeeding women, may not be able to use these products.
                

                

                
Calcium and Vitamin D   If you are lactose intolerant, make sure you get enough calcium each day. Milk and milk products are the most common sources of calcium. Other foods that contain calcium include   - fish with soft bones, such as canned salmon or sardines   - broccoli and other leafy green vegetables   - oranges   - almonds, Brazil nuts, and dried beans   - tofu   - products with the label showing added calcium, such as cereals, fruit juices, and soy milk    Vitamin D helps the body absorb and use calcium. Be sure to eat foods that contain vitamin D, such as eggs, liver, and certain kinds of fish, such as salmon. Also, being outside in the sunlight helps your body make vitamin D. Some companies add vitamin D to milk and milk products. If you are able to drink small amounts of milk or eat yogurt, choose those that have vitamin D added.   Talk with your doctor about how to get enough nutrientsincluding calcium and vitamin Din your diet or your childs diet. Ask if you should also take a supplement to get enough calcium and vitamin D.   For safety reasons, talk with your doctor before using dietary supplements or any other nonmainstream medicine together with or in place of the treatment your doctor prescribes. Read more at www.ods.od.nih.gov and www.nccam.nih.gov.",NIDDK,What I need to know about Lactose Intolerance
What are the symptoms of Familial visceral myopathy with external ophthalmoplegia ?,"What are the signs and symptoms of Familial visceral myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial visceral myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the gastric mucosa 90% Decreased body weight 90% Malabsorption 90% Myopathy 90% Ptosis 90% Skeletal muscle atrophy 90% Abnormality of the mitral valve 7.5% Abdominal distention - Abdominal pain - Abnormality of metabolism/homeostasis - Autosomal recessive inheritance - External ophthalmoplegia - Gastroparesis - Malnutrition - Ophthalmoplegia - Peripheral neuropathy - Spontaneous esophageal perforation - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Familial visceral myopathy with external ophthalmoplegia
Is MECP2 duplication syndrome inherited ?,"MECP2 duplication syndrome is inherited in an X-linked pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), a duplication of the only copy of the MECP2 gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a duplication of one of the two copies of the gene typically does not cause the disorder. Females usually do not have signs and symptoms of MECP2 duplication syndrome because the X chromosome that contains the duplication may be turned off (inactive) due to a process called X-inactivation.  Early in embryonic development in females, one of the two X chromosomes is permanently inactivated in somatic cells (cells other than egg and sperm cells). X-inactivation ensures that females, like males, have only one active copy of the X chromosome in each body cell. Usually X-inactivation occurs randomly, such that each X chromosome is active in about half of the body cells. Sometimes X-inactivation is not random, and one X chromosome is active in more than half of cells. When X-inactivation does not occur randomly, it is called skewed X-inactivation.  Research shows that females with an MECP2 gene duplication have skewed X-inactivation, which results in the inactivation of the X chromosome containing the duplication in most cells of the body. This skewed X inactivation ensures that only the chromosome with the normal MECP2 gene is expressed. This skewed X-inactivation is why females with an MECP2 gene duplication typically do not have any features related to the additional genetic material.",GHR,MECP2 duplication syndrome
What are the genetic changes related to essential thrombocythemia ?,"The JAK2 and CALR genes are the most commonly mutated genes in essential thrombocythemia. The MPL, THPO, and TET2 genes can also be altered in this condition. The JAK2, MPL, and THPO genes provide instructions for making proteins that promote the growth and division (proliferation) of blood cells. The CALR gene provides instructions for making a protein with multiple functions, including ensuring the proper folding of newly formed proteins and maintaining the correct levels of stored calcium in cells. The TET2 gene provides instructions for making a protein whose function is unknown.  The proteins produced from the JAK2, MPL, and THPO genes are part of a signaling pathway called the JAK/STAT pathway, which transmits chemical signals from outside the cell to the cell's nucleus. These proteins work together to turn on (activate) the JAK/STAT pathway, which promotes the proliferation of blood cells, particularly platelets and their precursor cells, megakaryocytes.  Mutations in the JAK2, MPL, and THPO genes that are associated with essential thrombocythemia lead to overactivation of the JAK/STAT pathway. The abnormal activation of JAK/STAT signaling leads to overproduction of megakaryocytes, which results in an increased number of platelets. Excess platelets can cause thrombosis, which leads to many signs and symptoms of essential thrombocythemia.  Although mutations in the CALR and TET2 genes have been found in people with essential thrombocythemia, it is unclear how these gene mutations are involved in development of the condition.  Some people with essential thrombocythemia do not have a mutation in any of the known genes associated with this condition. Researchers are working to identify other genes that may be involved in the condition.",GHR,essential thrombocythemia
What are the treatments for Essential Tremor ?,"There is no definitive cure for essential tremor. Symptomatic drug therapy may include propranolol or other beta blockers and primidone, an anticonvulsant drug. Eliminating tremor ""triggers"" such as caffeine and other stimulants from the diet is often recommended. Physical and occupational therapy may help to reduce tremor and improve coordination and muscle control for some individuals. Deep brain stimulation uses a surgically implanted, battery-operated medical device called a neurostimulator to delivery electrical stimulation to targeted areas of the brain that control movement, temporarily blocking the nerve signals that cause tremor. Other surgical intervention is effective but may have side effects.",NINDS,Essential Tremor
What are the symptoms of Pulmonary alveolar proteinosis acquired ?,"What are the signs and symptoms of Pulmonary alveolar proteinosis acquired? The Human Phenotype Ontology provides the following list of signs and symptoms for Pulmonary alveolar proteinosis acquired. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cyanosis 25% Alveolar proteinosis - Chest pain - Clubbing - Cough - Dyspnea - Hemoptysis - Hypoxemia - Insidious onset - Pneumonia - Polycythemia - Recurrent respiratory infections - Sporadic - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Pulmonary alveolar proteinosis acquired
What are the genetic changes related to cryptogenic cirrhosis ?,"Unlike most cases of cirrhosis, cryptogenic cirrhosis is not caused by the hepatitis C or B virus or chronic alcohol use. A diagnosis of cryptogenic cirrhosis is typically given when all other causes of cirrhosis have been ruled out. When a disorder occurs without an apparent underlying reason, it is described as cryptogenic.  Research has shown that many cases of cryptogenic cirrhosis likely result from a condition called non-alcoholic fatty liver disease (NAFLD). In NAFLD, fat accumulates in the liver, impairing its function. If the fat buildup leads to inflammation and damage to liver tissue, NAFLD progresses to a condition called non-alcoholic steatohepatitis (NASH). Long term inflammation in people with NASH can cause the formation of scar tissue and a decrease in fat buildup. As a result, individuals progress from NASH to cirrhosis.  Cryptogenic cirrhosis may also develop from autoimmune hepatitis, which is a condition that occurs when the body's immune system malfunctions and attacks the liver, causing inflammation and liver damage.  In very rare cases, cryptogenic cirrhosis has been associated with mutations in genes that provide instructions for making certain keratin proteins. Keratins are a group of tough, fibrous proteins that form the structural framework of certain cells, particularly cells that make up the skin, hair, nails, and similar tissues. People with these keratin gene mutations are more likely to have fibrous deposits in their livers than individuals without the mutations. These deposits impair liver function, leading to cirrhosis. Mutations in these genes have also been found in people with other liver disorders.  In many cases, the cause of cryptogenic cirrhosis is unknown. Many people with predisposing conditions do not develop cirrhosis. Researchers are working to discover the causes of cryptogenic cirrhosis as well as to find out why some people seem to be protected from developing cirrhosis and others seem to be susceptible.",GHR,cryptogenic cirrhosis
